parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
V_pop,0.045423940121605,,0.00345815045841771,7.61305701169878,0.0391526,0.0526997
k20_pop,0.0580592939907306,,0.00442156758089308,7.61560686838355,0.0500411,0.0673623
beta_k20_Drug_YTE,-1.29019516940651,,0.0491788433466811,3.81173674439529,-1.38658,-1.19381
k12_pop,0.0690299871045844,,0.0210013840300848,30.4235664976534,0.0394025,0.120935
beta_k12_Drug_YTE,0.682549039399476,,0.478516821263801,70.1073173708972,-0.255327,1.62042
k21_pop,0.0463424321119496,,0.00876485174102156,18.9132320890027,0.0322883,0.0665139
beta_k21_Drug_YTE,1.16887045554722,,0.463826628877448,39.6816111380198,0.259787,2.07795
b,0.266228941543833,,0.0175717690138509,6.60024748322031,0.234022,0.302869
