V_pop,1,-0.885637,-0.143641,-0.529461,-0.226144,-0.276176,-0.138549,0.11072
k20_pop,-0.885637,1,-0.189371,0.72323,0.0537463,0.464944,0.0375681,0.000284141
beta_k20_Drug_YTE,-0.143641,-0.189371,1,-0.306635,0.341824,-0.295167,0.215548,-0.00765933
k12_pop,-0.529461,0.72323,-0.306635,1,-0.307253,0.912156,-0.22964,-0.000273745
beta_k12_Drug_YTE,-0.226144,0.0537463,0.341824,-0.307253,1,-0.393755,0.952637,-0.00458008
k21_pop,-0.276176,0.464944,-0.295167,0.912156,-0.393755,1,-0.328152,-0.000176571
beta_k21_Drug_YTE,-0.138549,0.0375681,0.215548,-0.22964,0.952637,-0.328152,1,-0.00279964
b,0.11072,0.000284141,-0.00765933,-0.000273745,-0.00458008,-0.000176571,-0.00279964,1
